X,Y,id_0,id,FacilityID,Full_Name,Reg_Rd_No,L_LADD,L_HADD,R_LADD,R_HADD,Left_Mun,Right_Mun,Status,Owner,Managed_By,LifeCycle,vertex_index,vertex_part,vertex_part_index,distance,angle,icon_url,auxiliary_storage_labeling_labelrotation
-79.5965679092164,43.1986530021388,"6109","1358","02977",Casablanca Boulevard,"10","21","29","20","30",Grimsby,Grimsby,Public Maintained Road,RMN,RMN,Active,"2","0","2",190.910611536019,16.0401747047534,./0.png,180
-79.2853337632573,43.0013764919904,"6126","1362","26277",South Pelham Road,"36","481","599","482","598",Welland,Welland,Public Maintained Road,RMN,RMN,Active,"8","0","8",414.507544342597,358.618844325217,./0.png,
-79.2203883069178,43.125267012317,"6151","1370","21095",Saint David's Road,"71","205","223","190","202",Thorold,St. Catharines,Public Maintained Road,RMN,RMN,Active,"0","0","0",0,243.070788390325,./0.png,
-79.5965679092164,43.1986530021388,"6154","1371","02966",Casablanca Boulevard,"10","31","51","32","50",Grimsby,Grimsby,Public Maintained Road,RMN,RMN,Active,"0","0","0",0,17.746931123295,./0.png,180
-79.5770760733438,43.1978058687376,"6190","1380","00649",Livingston Avenue,"512","67","73","70","74",Grimsby,Grimsby,Public Maintained Road,RMN,RMN,Active,"0","0","0",0,284.622317483418,./0.png,
-79.6223894043283,43.2132484781421,"6251","1397","03734",South Service Road,"40","625","697","0","0",Grimsby,Grimsby,Public Maintained Road,RMN,RMN,Active,"1","0","1",625.585285268894,287.421642796222,./0.png,
-79.5253299161707,43.1869085583838,"6264","1401","25548",Bartlett Avenue,"14","1","19","2","10",Grimsby,Grimsby,Public Maintained Road,RMN,RMN,Active,"2","0","2",151.438113278512,19.3943008424156,./0.png,
-79.5152756570014,43.1843126945282,"6282","1406","25571",Main Street East,"81","329","335","330","338",Grimsby,Grimsby,Public Maintained Road,RMN,RMN,Active,"0","0","0",0,123.498315914236,./0.png,
-79.5152756570014,43.1843126945282,"6294","1408","25573",Main Street East,"81","323","327","322","328",Grimsby,Grimsby,Public Maintained Road,RMN,RMN,Active,"7","0","7",200.560931278482,123.390951574154,./0.png,
-79.5375092082415,43.1923705533578,"6309","1412","26852",South Service Road,"40","0","0","0","0",Grimsby,Grimsby,Public Maintained Road,RMN,RMN,Active,"2","0","2",683.023580051019,104.526658840434,./0.png,
-79.4004991909696,43.0955540199187,"6513","1431","25590",Twenty Mile Road,"69","3342","3798","3343","3799",West Lincoln,Lincoln,Public Maintained Road,RMN,RMN,Active,"19","0","19",1646.21342977513,266.145499378371,./0.png,
-79.3753728663191,43.1149725732925,"6741","1459","17483",Eighth Avenue,"669","2908","3098","2907","3099",Lincoln,Lincoln,Public Maintained Road,RMN,RMN,Active,"3","0","3",636.95504973665,267.565619083553,./0.png,
-79.2782694744726,42.9872415800396,"6804","1471","26372",Webber Road,"29","0","0","0","0",Welland,Welland,Public Maintained Road,RMN,RMN,Active,"6","0","6",173.049753547996,117.535596966465,./0.png,
-79.3384559308517,42.9451985207357,"6849","1481","03920",Forks Road,"23","41201","41399","41200","41398",Wainfleet,Wainfleet,Public Maintained Road,RMN,RMN,Active,"1","0","1",72.117331349125,267.598985257156,./0.png,
-79.2843339308032,42.9462964595799,"6868","1483","21072",Forks Road,"23","40101","40171","40100","40170",Wainfleet,Wainfleet,Public Maintained Road,RMN,RMN,Active,"10","0","10",258.303985190441,247.075168524822,./0.png,
-79.4371588782039,42.876260620781,"6941","1492","19633",Lakeshore Road,"3","13001","13199","13000","13198",Wainfleet,Wainfleet,Public Maintained Road,RMN,RMN,Active,"18","0","18",883.17306412536,281.845950142455,./0.png,
-79.4951681688106,42.9957196913101,"6948","1493","24830",Regional Road 45,"045","74201","74699","74200","74698",Wainfleet,Wainfleet,Public Maintained Road,RMN,RMN,Active,"6","0","6",407.983298758138,251.001670406237,./0.png,
-79.4787832908234,42.9996280106627,"7028","1497","19588",Regional Road 27,"27","73901","73999","73900","73998",Wainfleet,Wainfleet,Public Maintained Road,RMN,RMN,Active,"13","0","13",301.493689179708,133.169221029391,./0.png,
-79.3072448846793,42.9693890628442,"7049","1499","19425",Regional Road 27,"27","60601","60799","60600","60798",Wainfleet,Wainfleet,Public Maintained Road,RMN,RMN,Active,"0","0","0",0,280.145523151094,./0.png,
